"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez_id","entrez","go","path"
"ENSG00000184144",3808.72716367692,6.48927664871812,0.131092333127735,49.5015726235875,0,0,"CNTN2","6900","contactin 2","GO:0000226","04514"
"ENSG00000170542",6700.04338034199,-7.48038662081171,0.143464681415029,-52.1409628281382,0,0,"SERPINB9","5272","serpin family B member 9","GO:0002020","05146"
"ENSG00000167244",19928.3322565173,-4.19416523831165,0.105906053083831,-39.6026961272148,0,0,"IGF2","3481","insulin like growth factor 2","GO:0000122",NA
"ENSG00000280623",7356.76044253178,-7.50301660967469,0.152028338841727,-49.3527500651435,0,0,"LOC124900476","124900476","endogenous retrovirus group K member 5 Gag polyprotein-like",NA,NA
"ENSG00000233056",5777.48557800212,-8.83594537685397,0.188217580394857,-46.9453775694984,0,0,"ERVH48-1","90625","endogenous retrovirus group 48 member 1, envelope","GO:0005515",NA
"ENSG00000121570",3392.86217061296,-7.44208831570068,0.193756495186626,-38.409490781367,8.89318162514244e-323,3.03183383570481e-319,"DPPA4","55211","developmental pluripotency associated 4","GO:0003682",NA
"ENSG00000136943",3190.08812700597,-5.07889916627213,0.135045535538488,-37.6087898501809,1.54422448295611e-309,4.51244454269533e-306,"CTSV","1515","cathepsin V","GO:0004197","04142"
"ENSG00000148200",1958.71094264729,-4.23456100282387,0.115476915733498,-36.6701948690467,2.18130548408141e-294,5.57732545961066e-291,"NR6A1","2649","nuclear receptor subfamily 6 group A member 1","GO:0000122",NA
"ENSG00000170421",19412.0706010784,-4.46726464333149,0.122526163920445,-36.4596793076134,4.8326997536149e-291,1.09836526066881e-287,"KRT8","3856","keratin 8","GO:0005515",NA
"ENSG00000092820",4253.81139214735,-3.49724694083193,0.0974110919963958,-35.9019375428142,2.84931785424538e-282,5.82827967085892e-279,"EZR","7430","ezrin","GO:0000122","04670"
"ENSG00000240563",4557.74514146142,-9.69252237820253,0.272935390296011,-35.5121494786387,3.19200024283956e-276,5.93566954248029e-273,"L1TD1","54596","LINE1 type transposase domain containing 1","GO:0003727",NA
"ENSG00000111057",5080.96916590918,-5.26046444279705,0.148494199903308,-35.4253866226586,6.94399030172866e-275,1.1836610135155e-271,"KRT18","3875","keratin 18","GO:0003723","05130"
"ENSG00000101115",1300.99869632282,-4.97466581589473,0.143480767334316,-34.6713075788309,2.1330670274224e-263,3.35629892660962e-260,"SALL4","57167","spalt like transcription factor 4","GO:0000122",NA
"ENSG00000131914",9328.13481747097,-11.581318811374,0.344174182973172,-33.6495861233053,3.16168969278118e-248,4.61945447613136e-245,"LIN28A","79727","lin-28 RNA binding posttranscriptional regulator A","GO:0000932",NA
"ENSG00000077279",3030.88062712923,3.90433245704305,0.117709068390454,33.1693429438413,2.98031049102734e-241,4.06415007293095e-238,"DCX","1641","doublecortin","GO:0001764",NA
"ENSG00000148175",2055.58561842165,-5.0191117140657,0.151997395932778,-33.0210375201787,4.05328048170488e-239,5.18186576582959e-236,"STOM","2040","stomatin","GO:0005515",NA
"ENSG00000139329",4293.31599481415,-5.75901093157171,0.174797509262081,-32.9467562546157,4.70805553836638e-238,5.66489859042848e-235,"LUM","4060","lumican","GO:0005201",NA
"ENSG00000057294",1418.72131327323,-3.95651431673148,0.120455340722828,-32.8463170913739,1.28563529095646e-236,1.46098165980636e-233,"PKP2","5318","plakophilin 2","GO:0001533","05412"
"ENSG00000128567",16922.6505548237,-5.65189724270079,0.17259184956655,-32.7471850895338,3.32973428673898e-235,3.584721833434e-232,"PODXL","5420","podocalyxin like","GO:0001726",NA
"ENSG00000132872",1782.39419386983,5.68798164259705,0.175372874099268,32.4336455783774,9.21228274564461e-231,9.42186217810802e-228,"SYT4","6860","synaptotagmin 4","GO:0000139",NA
"ENSG00000164120",1176.39220331471,-6.43801401709054,0.199071398389612,-32.340226015243,1.90373908744472e-229,1.85433252541341e-226,"HPGD","3248","15-hydroxyprostaglandin dehydrogenase","GO:0001822",NA
"ENSG00000057019",3980.82066450978,2.45410639537017,0.0764469412739558,32.1020874671181,4.12283368329835e-226,3.83329831781217e-223,"DCBLD2","131566","discoidin, CUB and LCCL domain containing 2","GO:0005515",NA
"ENSG00000116774",1603.46481254208,-4.61905178635988,0.145831398819042,-31.6739181257634,3.55337023646035e-220,3.16018209507811e-217,"OLFML3","56944","olfactomedin like 3","GO:0005576",NA
"ENSG00000164061",1389.70393526338,4.04370061200194,0.128607518386149,31.442178985684,5.36933946616516e-217,4.57624328251701e-214,"BSN","8927","bassoon presynaptic cytomatrix protein","GO:0004857",NA
"ENSG00000158769",1399.95899634276,-4.48765443424303,0.143205739523825,-31.3371129478816,1.45770144056206e-215,1.19269131866788e-212,"F11R","50848","F11 receptor","GO:0001618","04514"
"ENSG00000144485",1526.81582594692,4.13773532695021,0.133081447292235,31.0917517891439,3.1135368985261e-212,2.44951527920582e-209,"HES6","55502","hes family bHLH transcription factor 6","GO:0000122",NA
"ENSG00000115266",1577.17403637001,4.44046389102167,0.143705156248213,30.8998229914029,1.20101563952113e-209,9.09880552089066e-207,"APC2","10297","APC regulator of Wnt signaling pathway 2","GO:0000226","04310"
"ENSG00000119547",1500.57274207464,5.34837797507313,0.175005364038231,30.5612231057372,4.01153531219637e-205,2.93056981467774e-202,"ONECUT2","9480","one cut homeobox 2","GO:0000785",NA
"ENSG00000107485",1258.81044177293,-5.53311262612097,0.182700177495166,-30.2852066263996,1.79534184713918e-201,1.26633508562869e-198,"GATA3","2625","GATA binding protein 3","GO:0000122",NA
"ENSG00000008513",2096.74204457024,-3.95600000176313,0.130831327068109,-30.2374063644839,7.63902499838464e-201,5.20854187806526e-198,"ST3GAL1","6482","ST3 beta-galactoside alpha-2,3-sialyltransferase 1","GO:0000139","00512"
"ENSG00000116285",3316.0504236589,-3.05702468551186,0.10110799058524,-30.2352432069612,8.15594652743567e-201,5.38160923286118e-198,"ERRFI1","54206","ERBB receptor feedback inhibitor 1","GO:0001501",NA
"ENSG00000145920",877.848745073949,5.13010206051229,0.170993470378736,30.001742459227,9.31306627775587e-198,5.95308658473426e-195,"CPLX2","10814","complexin 2","GO:0000149",NA
"ENSG00000104413",1751.61615816115,-5.25283587079129,0.175998295859164,-29.8459473436872,9.90888582127154e-196,6.1420078628518e-193,"ESRP1","54845","epithelial splicing regulatory protein 1","GO:0003676",NA
"ENSG00000134954",794.826165910563,-4.17064600972698,0.139929143293671,-29.8054137369653,3.32392130960722e-195,1.99972971729458e-192,"ETS1","2113","ETS proto-oncogene 1, transcription factor","GO:0000785","04320"
"ENSG00000184697",4481.45711094059,-5.06556944051463,0.170954962079814,-29.631017309399,5.95708206426419e-193,3.48148896070068e-190,"CLDN6","9074","claudin 6","GO:0001618","04514"
"ENSG00000196549",1131.69028994326,-5.23096038029043,0.177537249313434,-29.4640161460169,8.32713409431729e-191,4.73143133053501e-188,"MME","4311","membrane metalloendopeptidase","GO:0001786","04614"
"ENSG00000206557",6010.69607130795,-3.83389743443611,0.131630384381211,-29.126234436366,1.67105490352867e-186,9.23822379775108e-184,"TRIM71","131405","tripartite motif containing 71","GO:0000082",NA
"ENSG00000228624",1356.5546636851,-5.91660434083191,0.203854695983802,-29.0236352529354,3.31167821551111e-185,1.78264152363894e-182,"HDAC2-AS2","101927768","HDAC2 and HS3ST5 antisense RNA 2",NA,NA
"ENSG00000120149",1137.59826470006,-6.37427517890746,0.220322463835579,-28.9315717877248,4.78658929725796e-184,2.51050471988235e-181,"MSX2","4488","msh homeobox 2","GO:0000122",NA
"ENSG00000124145",1979.4067466402,-3.14683721474622,0.108920622911345,-28.8911055650825,1.54428654928514e-183,7.89709534140691e-181,"SDC4","6385","syndecan 4","GO:0001657","04512"
"ENSG00000167614",1363.33943254652,3.56072495773587,0.123587968402568,28.8112589256048,1.55023697088059e-182,7.73417005838111e-180,"TTYH1","57348","tweety family member 1","GO:0000278",NA
"ENSG00000284294",2365.48202818062,-9.47214254303738,0.3288376272825,-28.8049230293831,1.86107129358886e-182,9.06386031199049e-180,"LOC122455341","122455341","uncharacterized LOC122455341",NA,NA
"ENSG00000107438",2270.80659152269,-3.65965857017095,0.127393570661535,-28.7271841990683,1.74630567431751e-181,8.30713548096851e-179,"PDLIM1","9124","PDZ and LIM domain 1","GO:0001666",NA
"ENSG00000124942",18376.5460668209,-4.07992943582932,0.143547442571492,-28.4221673527716,1.07634185369905e-177,5.00376650395772e-175,"AHNAK","79026","AHNAK nucleoprotein","GO:0003723",NA
"ENSG00000090097",3507.2969400068,3.13409659393167,0.111050765168001,28.2221972013458,3.1237434120379e-175,1.41991492207189e-172,"PCBP4","57060","poly(rC) binding protein 4","GO:0003676",NA
"ENSG00000165443",1185.44633458449,4.33311689179959,0.155862486256096,27.8008967769184,4.23077711272896e-170,1.88131621393197e-167,"PHYHIPL","84457","phytanoyl-CoA 2-hydroxylase interacting protein like","GO:0005515",NA
"ENSG00000106078",653.055348037672,-4.4501497710748,0.161122608266729,-27.6196482849125,6.46358780607402e-168,2.8130359270903e-165,"COBL","23242","cordon-bleu WH2 repeat protein","GO:0000578",NA
"ENSG00000204262",5246.37631466546,-3.51452452024091,0.127286313193083,-27.611173833825,8.17038536659004e-168,3.48177568069998e-165,"COL5A2","1290","collagen type V alpha 2 chain","GO:0001501","04510"
"ENSG00000080644",905.04139293349,4.58964053790743,0.167260890804319,27.440010129307,9.14246683107403e-166,3.81651344958407e-163,"CHRNA3","1136","cholinergic receptor nicotinic alpha 3 subunit","GO:0004888","04080"
"ENSG00000136068",6780.09842126844,-2.54695480566655,0.0931745846500624,-27.3352955125284,1.61520345675961e-164,6.60779734160356e-162,"FLNB","2317","filamin B","GO:0001725","04010"
"ENSG00000137642",1929.16696872093,-2.9502071162488,0.108682067530869,-27.1452980539854,2.87724754118563e-162,1.15400193048925e-159,"SORL1","6653","sortilin related receptor 1","GO:0000139",NA
"ENSG00000103196",1030.28952853065,-6.11166449859143,0.225707000702844,-27.077868562162,1.7947212257669e-161,7.05981205251192e-159,"CRISPLD2","83716","cysteine rich secretory protein LCCL domain containing 2","GO:0005539",NA
"ENSG00000138449",1615.73836623014,-3.33535523581291,0.12330372644483,-27.0499143211641,3.82833638438235e-161,1.47752114608568e-158,"SLC40A1","30061","solute carrier family 40 member 1","GO:0002260",NA
"ENSG00000050165",5379.7935162541,3.41095284798615,0.126129113438775,27.0433427698821,4.57410459355453e-161,1.73265387891033e-158,"DKK3","27122","dickkopf Wnt signaling pathway inhibitor 3","GO:0005515",NA
"ENSG00000087510",846.337486132422,-4.53740980284627,0.169150043675406,-26.8247628215422,1.66195189216997e-158,6.18095017351575e-156,"TFAP2C","7022","transcription factor AP-2 gamma","GO:0000122",NA
"ENSG00000171345",7919.95183554473,-4.78561627999932,0.179169248881067,-26.7100314919332,3.59930611815746e-157,1.31471083298055e-154,"KRT19","3880","keratin 19","GO:0002009",NA
"ENSG00000187323",710.419805802595,5.45473935377977,0.204541962313466,26.6680699260147,1.10477114511298e-156,3.96457785496244e-154,"DCC","1630","DCC netrin 1 receptor","GO:0001764","04360"
"ENSG00000096696",12344.7337769432,-4.22510720958837,0.16073574327883,-26.2860464225373,2.76916049605482e-152,9.76606516324161e-150,"DSP","1832","desmoplakin","GO:0001533","05412"
"ENSG00000101335",1009.86018477479,-3.1155755288643,0.119088870831155,-26.1617689975546,7.24074606291473e-151,2.51032984265967e-148,"MYL9","10398","myosin light chain 9","GO:0001725","04270"
"ENSG00000144834",608.335323513837,4.76431201555763,0.182167316337842,26.153495101843,8.99316783178632e-151,3.06592079998649e-148,"TAGLN3","29114","transgelin 3","GO:0000122",NA
"ENSG00000103260",1632.22222457395,3.01057536538764,0.115135867532663,26.1480234604873,1.03787595031883e-150,3.48028730553632e-148,"METRN","79006","meteorin, glial cell differentiation regulator","GO:0005179",NA
"ENSG00000118257",1544.40609907576,-3.41136357640195,0.131450985663083,-25.9516013455043,1.74417829720955e-148,5.75438178539055e-146,"NRP2","8828","neuropilin 2","GO:0001525",NA
"ENSG00000003436",855.241583192978,-3.21298854723142,0.123989593744142,-25.913372648527,4.70731910063861e-148,1.52838432069147e-145,"TFPI","7035","tissue factor pathway inhibitor","GO:0004866","04610"
"ENSG00000060982",2802.34534462433,-2.22922668346239,0.0868842679792849,-25.6574260830958,3.49363992447928e-145,1.11660007273787e-142,"BCAT1","586","branched chain amino acid transaminase 1","GO:0000082","00280"
"ENSG00000129354",719.917901815858,-5.17046004775489,0.204341347749758,-25.3030534676065,2.95638854559956e-141,9.30352733849831e-139,"AP1M2","10053","adaptor related protein complex 1 subunit mu 2","GO:0000139","04142"
