"","SRR30921769","SRR30921770","SRR30921771","SRR30921772","SRR30921773","SRR30921774"
"ENSG00000142611",49,88,121,194,233,268
"ENSG00000284616",0,0,0,0,0,0
"ENSG00000260972",0,0,0,0,0,0
"ENSG00000229280",0,0,0,0,0,0
"ENSG00000232596",0,0,0,0,0,0
"ENSG00000231510",2,0,0,0,0,0
"ENSG00000149527",48,61,97,1089,681,688
"ENSG00000272235",1,0,5,5,0,0
"ENSG00000284694",0,0,0,0,0,0
"ENSG00000224387",2,2,3,31,30,29
"ENSG00000284674",0,0,0,0,0,0
"ENSG00000224338",0,0,0,1,0,0
"ENSG00000287727",10,13,7,14,22,19
"ENSG00000215720",0,0,0,0,2,1
"ENSG00000142606",10,17,15,23,19,34
"ENSG00000225931",0,0,0,1,0,1
"ENSG00000229393",4,3,3,41,35,32
"ENSG00000287586",3,1,4,2,1,8
"ENSG00000227169",0,0,0,0,0,0
"ENSG00000283356",0,0,0,0,0,0
"ENSG00000225387",3,3,3,0,4,3
"ENSG00000048707",1185,1027,1027,1887,1363,1692
"ENSG00000225196",0,0,0,0,0,0
"ENSG00000279625",0,0,0,0,0,0
"ENSG00000285833",0,0,0,2,1,0
"ENSG00000280222",0,0,0,0,0,0
"ENSG00000285945",0,0,0,4,0,0
"ENSG00000197921",11,15,14,1160,866,764
"ENSG00000284666",0,0,0,7,7,2
"ENSG00000234397",0,0,0,0,0,1
"ENSG00000233419",0,0,0,0,0,0
"ENSG00000225011",0,0,0,0,0,1
"ENSG00000284676",0,0,0,0,0,0
"ENSG00000270927",0,0,0,0,0,0
"ENSG00000230523",2,0,0,0,0,2
"ENSG00000233234",0,0,0,0,0,0
"ENSG00000189337",531,425,531,1084,645,924
"ENSG00000283259",0,0,0,0,1,2
"ENSG00000175147",111,143,90,49,45,42
"ENSG00000230214",0,0,0,0,0,0
"ENSG00000272420",8,9,1,14,11,13
"ENSG00000236648",1,1,0,0,1,0
"ENSG00000232273",0,1,1,4,0,6
"ENSG00000130940",153,179,196,1421,945,1125
"ENSG00000227527",2,3,6,8,1,1
"ENSG00000163873",87,64,131,1329,1163,1106
"ENSG00000117215",0,0,0,0,0,0
"ENSG00000230163",0,0,0,0,0,0
"ENSG00000215895",0,2,0,0,0,1
"ENSG00000274944",0,0,0,0,0,0
"ENSG00000272078",6,4,7,125,62,113
"ENSG00000230451",0,0,0,0,0,0
"ENSG00000231606",0,0,0,0,0,9
"ENSG00000254553",0,0,0,0,0,1
"ENSG00000284653",0,0,0,0,0,1
"ENSG00000237749",0,0,0,0,0,0
"ENSG00000276747",0,0,0,0,0,0
"ENSG00000159339",0,4,0,0,0,0
"ENSG00000261781",0,0,0,0,0,0
"ENSG00000224751",0,0,0,1,0,1
"ENSG00000230585",2,0,0,1,1,6
"ENSG00000117000",1085,1155,1064,2019,1440,1721
"ENSG00000284989",0,0,0,0,0,0
"ENSG00000231630",0,0,0,0,0,0
"ENSG00000255811",0,0,0,0,0,2
"ENSG00000225671",0,0,0,0,1,0
"ENSG00000236111",0,0,0,0,0,0
"ENSG00000116544",121,62,115,68,47,67
"ENSG00000236723",0,1,3,1,3,0
"ENSG00000232467",0,0,0,1,0,1
"ENSG00000237130",0,0,0,0,0,1
"ENSG00000232335",0,0,0,0,0,0
"ENSG00000232762",1,1,3,0,0,2
"ENSG00000284686",1,0,0,1,0,6
"ENSG00000259818",1,4,0,0,0,0
"ENSG00000234318",0,0,0,0,0,0
"ENSG00000227485",0,0,0,0,0,0
"ENSG00000236646",0,0,0,0,0,0
"ENSG00000171872",0,0,0,0,0,0
"ENSG00000163877",274,275,278,253,156,229
"ENSG00000228929",1,1,1,9,0,0
"ENSG00000224570",0,0,0,0,0,0
"ENSG00000224980",0,0,0,0,0,0
"ENSG00000278967",0,0,4,2,3,12
"ENSG00000233910",0,0,0,0,0,0
"ENSG00000287703",0,0,0,0,0,1
"ENSG00000283039",2,0,0,0,0,0
"ENSG00000229294",1,0,0,0,2,0
"ENSG00000236973",0,0,0,0,0,1
"ENSG00000277397",0,0,0,0,0,0
"ENSG00000275350",0,0,0,0,0,0
"ENSG00000285778",0,0,0,0,0,0
"ENSG00000233407",0,0,0,0,0,0
"ENSG00000280317",4,0,0,0,0,0
"ENSG00000233994",0,0,0,1,0,0
"ENSG00000227556",0,0,0,0,0,0
"ENSG00000285954",0,0,1,0,0,0
"ENSG00000233333",0,0,0,0,0,0
